Department,Tab,Category,ID,Check Item
"시설","2층","1. 공조 및 환기설비","f1_1","2층 공조기(AHU) 가동 상태 및 비정상 소음/진동 확인"
"시설","2층","1. 공조 및 환기설비","f1_2","환기 닥트 및 흡배기 점검"
"시설","2층","1. 공조 및 환기설비","f1_3","실내 적정 온습도 유지 및 컨트롤 패널 점검"
"시설","2층","2. 소방 및 안전 시설","f1_4","2층 비상 유도등 상시 점등 및 배터리 점검"
"시설","2층","2. 소방 및 안전 시설","f1_5","소화기 비치 위치 확인 및 압력 게이지 정상 여부"
"시설","2층","2. 소방 및 안전 시설","f1_6","비상 탈출로 및 방화문 앞 물건 적치 여부 확인"
"시설","2층","2. 소방 및 안전 시설","f1_7","비상 호출벨 및 안내 방송 스피커 작동 점검"
"시설","2층","3. 로비 / 카운터 / 락카존","f1_8","신발장 및 락카 전자키/도어락 정상 작동 확인"
"시설","2층","3. 로비 / 카운터 / 락카존","f1_9","카운터 POS/키오스크 및 결제 단말기 작동 점검"
"시설","2층","3. 로비 / 카운터 / 락카존","f1_10","로비/출입구 자동문 및 에어커튼 작동 상태 확인"
"시설","2층","3. 로비 / 카운터 / 락카존","f1_11","CCTV 모니터링 화면 정상 출력 및 녹화 상태 점검"
"시설","2층","4. 탈의실 및 파우더룸","f1_12","헤어드라이기/선풍기 및 콘센트 과열/누전 점검"
"시설","2층","4. 탈의실 및 파우더룸","f1_13","탈의실 환풍기 가동 및 실내 냄새/습기 배출 상태"
"시설","2층","4. 탈의실 및 파우더룸","f1_14","바닥 발매트 건조 상태 및 낙상 위험 요인 확인"
"시설","2층","4. 탈의실 및 파우더룸","f1_15","음용 정수기 위생 상태 및 온수/냉수 정상 출수 점검"
"시설","2층","5. 공용부(승강기/계단/주차/외곽)","f1_16","승강기(엘리베이터) 운행 상태 및 비상통화 버튼 점검"
"시설","2층","5. 공용부(승강기/계단/주차/외곽)","f1_17","계단실 센서등/비상등 점등 및 난간 흔들림 점검"
"시설","2층","5. 공용부(승강기/계단/주차/외곽)","f1_18","주차장 조명, 차단기 및 소방 배관 동파/누수 확인"
"시설","2층","5. 공용부(승강기/계단/주차/외곽)","f1_19","옥상 출입문 통제/자동폐쇄 및 실외기 팬 점검"
"시설","지하","1. 보일러실","b1","가동 시 평소와 다른 기계 소음 및 심한 진동 확인"
"시설","지하","1. 보일러실","b2","보일러 온도계/압력계 바늘 정상 범위 점검"
"시설","지하","1. 보일러실","b3","가스 냄새 및 누설 경보기 전원 상태 확인"
"시설","지하","1. 보일러실","b4","연도(배기 굴뚝/통) 연결부 이탈 및 찌그러짐 점검"
"시설","지하","1. 보일러실","b5","보일러 내부 배기가스 실내 누출 여부 점검"
"시설","지하","1. 보일러실","b6","압력 안전밸브 주변 누수 여부 점검"
"시설","지하","1. 보일러실","b7","보일러 주변 인화성 물질 방치 여부 점검"
"시설","지하","1. 보일러실","b8","제어반(컨트롤러) 에러 코드 및 경고등 점검"
"시설","지하","1. 보일러실","b9","보일러실 내부 환풍기 정상 작동 확인"
"시설","지하","2. 폐수열 회수기","w1","장비 외관 및 배관 연결부 누수 여부 점검"
"시설","지하","2. 폐수열 회수기","w2","폐수 순환 펌프 과열 및 비정상 소음 점검"
"시설","지하","2. 폐수열 회수기","w3","폐수 및 예열수 간 정상 온도차 유지 점검"
"시설","지하","2. 폐수열 회수기","w4","장비 주변 배수로 막힘 및 악취 여부 점검"
"시설","지하","2. 폐수열 회수기","w5","역세척 밸브 수동/자동 정상 작동 확인"
"시설","지하","2. 폐수열 회수기","w6","기기 주변 배관 보온재 상태 점검"
"시설","지하","3. 온수탱크","t1","탱크 외부 보온재 훼손 여부 점검"
"시설","지하","3. 온수탱크","t2","스파용 온수 적정 온도 유지 상태 확인"
"시설","지하","3. 온수탱크","t3","드레인(배출) 밸브 주변 누수 여부 점검"
"시설","지하","3. 온수탱크","t4","배관 밸브 부식 및 미세 누수 점검"
"시설","지하","3. 온수탱크","t5","온수 순환 모터(펌프) 발열/소음 점검"
"시설","지하","3. 온수탱크","t6","온도조절기 설정값 연동 정상 작동 확인"
"시설","3층 찜질","1. 탕 수처리 및 여과설비","f3_1","탕수 순환 펌프 수압 및 가동 소음 점검"
"시설","3층 찜질","1. 탕 수처리 및 여과설비","f3_2","온탕/열탕/냉탕 수온계 정상 작동 및 온도 유지"
"시설","3층 찜질","2. 사우나 및 테마찜질방","f3_3","테마방(소금/황토/편백 등) 발열체 및 실내 온도 확인"
"시설","3층 찜질","2. 사우나 및 테마찜질방","f3_4","아이스방/냉찜질방 냉각 콤프레셔 및 성에 제거 점검"
"시설","3층 찜질","2. 사우나 및 테마찜질방","f3_5","사우나/테마방 도어 개폐 점검"
"시설","3층 찜질","3. 탕내 샤워설비 및 배수","f3_6","입식/좌식 샤워기 수압, 온수 혼합 밸브 및 누수 확인"
"시설","3층 찜질","3. 탕내 샤워설비 및 배수","f3_7","바닥 배수구 트랩 물빠짐 상태 및 머리카락 청소"
"시설","3층 찜질","3. 탕내 샤워설비 및 배수","f3_8","탕 바닥/계단 위험물 확인"
"시설","3층 찜질","3. 탕내 샤워설비 및 배수","f3_9","탕 내부 방수 상태 및 누전 차단기 점검"
"시설","여과/기타","1. 여과기 점검","tab4_f1","① 열탕여과기(여)"
"시설","여과/기타","1. 여과기 점검","tab4_f2","② 벤치Z 여과기(여)"
"시설","여과/기타","1. 여과기 점검","tab4_f3","③ 족탕 여과기"
"시설","여과/기타","1. 여과기 점검","tab4_f4","④ 온탕 여과기(남)"
